ot_id,activo_id,fecha_apertura,fecha_cierre,tipo_ot,sistema,componente,modo_falla,descripcion_falla,odometro_km,horometro_h,taller_id,costo_total_clp,responsable,observaciones,created_at
OT-2024-001,ACE-001,2026-03-15 08:30:00+00:00,2026-03-15 16:45:00+00:00,Correctiva,Motor,Filtro de Aire,Obstrucción,Filtro de aire obstruido por polvo excesivo,125000,4500,TALLER-01,45000,Juan García,Reemplazo de filtro realizado correctamente,2026-03-15 08:30:00+00:00
OT-2024-002,ACE-002,2026-03-16 09:15:00+00:00,2026-03-17 14:30:00+00:00,Preventiva,Sistema de Frenos,Pastillas de Freno,Desgaste,Pastillas de freno desgastadas requieren reemplazo,95000,3200,TALLER-01,180000,Carlos López,Cambio de pastillas completo con lubricante,2026-03-16 09:15:00+00:00
OT-2024-003,ACE-003,2026-03-17 10:00:00+00:00,2026-03-18 15:20:00+00:00,Correctiva,Transmisión,Aceite,Fuga,Fuga de aceite en transmisión detectada,180000,5100,TALLER-02,220000,María Rodríguez,Sello reemplazado nuevo,2026-03-17 10:00:00+00:00
OT-2024-004,ACE-004,2026-03-18 07:45:00+00:00,2026-03-18 17:30:00+00:00,Preventiva,Sistema Eléctrico,Batería,Carga insuficiente,Batería con bajo rendimiento en arranques,45000,2100,TALLER-01,125000,Roberto Martínez,Batería reemplazada exitosamente,2026-03-18 07:45:00+00:00
OT-2024-005,ACE-005,2026-03-19 08:00:00+00:00,2026-03-20 16:00:00+00:00,Correctiva,Sistema de Suspensión,Amortiguadores,Daño,Amortiguador frontal dañado por impacto,220000,6200,TALLER-03,150000,Felipe Sánchez,Reemplazo de amortiguador frontal completo,2026-03-19 08:00:00+00:00
OT-2024-006,ACE-001,2026-03-20 09:30:00+00:00,2026-03-20 13:45:00+00:00,Preventiva,Motor,Bujías,Ensuciamiento,Bujías ensuciadas requieren limpieza,125500,4520,TALLER-02,75000,Juan García,Limpieza y ajuste de bujías realizado,2026-03-20 09:30:00+00:00
OT-2024-007,ACE-002,2026-03-21 10:15:00+00:00,2026-03-22 11:30:00+00:00,Correctiva,Sistema de Enfriamiento,Radiador,Obstrucción,Radiador parcialmente obstruido por sedimento,95500,3220,TALLER-01,95000,Carlos López,Limpieza del radiador profunda,2026-03-21 10:15:00+00:00
OT-2024-008,ACE-003,2026-03-22 08:30:00+00:00,2026-03-22 18:15:00+00:00,Preventiva,Sistema de Combustible,Filtro de Combustible,Contaminación,Filtro contaminado por impurezas,180200,5110,TALLER-02,65000,María Rodríguez,Cambio de filtro de combustible nuevo,2026-03-22 08:30:00+00:00
OT-2024-009,ACE-004,2026-03-23 07:00:00+00:00,2026-03-24 14:20:00+00:00,Correctiva,Sistema Hidráulico,Mangueras,Fuga,Fuga en manguera hidráulica principal,45100,2110,TALLER-03,185000,Roberto Martínez,Reemplazo de manguera hidráulica,2026-03-23 07:00:00+00:00
OT-2024-010,ACE-005,2026-03-24 09:45:00+00:00,2026-03-24 16:30:00+00:00,Preventiva,Sistema de Dirección,Aceite de Dirección,Bajo nivel,Nivel bajo de aceite en sistema de dirección,220100,6210,TALLER-01,55000,Felipe Sánchez,Recarga de aceite de dirección realizada,2026-03-24 09:45:00+00:00
OT-2024-011,ACE-001,2026-03-25 08:15:00+00:00,2026-03-25 17:45:00+00:00,Correctiva,Motor,Cigüeñal,Desgaste,Cigüeñal con desgaste excesivo requiere rectificado,125600,4540,TALLER-02,450000,Juan García,Rectificado de cigüeñal completo,2026-03-25 08:15:00+00:00
OT-2024-012,ACE-002,2026-03-26 10:30:00+00:00,2026-03-27 13:00:00+00:00,Preventiva,Sistema de Frenos,Discos de Freno,Desgaste,Discos de freno desgastados por uso,95600,3240,TALLER-01,220000,Carlos López,Cambio de discos de freno nuevo,2026-03-26 10:30:00+00:00
